Insert-Atom,Pt-Fold,Melting-point1,Melting-point2,Melting-point-Average,Density1,Density2,Density-Average,Ionization-energy1,Ionization-energy2,Ionization-energy-Average,Atomic-mass1,Atomic-mass2,Atomic-mass-Average,ID-Average,ID-1,ID-2,Radius-1,Radius-2,Radius-Average,Electronegativity-1,Electronegativity-2,Electronegativity-ave,Energy-slab,Force-1,Force-2,magnetization-1,magnetization-2,Distance,E-fermi,Formation-Energy,Work-function,p-center,d-center,mag,Bader-1,Bader-2,*O,*OH,delta G
V-Ir,2,1910,2466,2188,6.11,22.65,14.38,6.7,8.9,7.8,50.9,192.2,121.55,50,23,77,1.34,1.36,1.35,1.63,2.2,1.915,-194.39903,-0.0238143,-0.024667,-0.179,0.048,2.740781069,3.5762,-18.2405448,5.691,0.215,-2.104,8.9913,-0.199448,-0.071945,-4.6482976,-3.3774042,0.6789603
Cr-Mn,2,1970,1246,1608,7.14,7.47,7.305,7.4,7.9,7.65,52,54.9,53.45,24.5,24,25,1.28,1.27,1.275,1.66,1.55,1.605,-194.19957,-0.0220153,-0.04096,2.502,0.1,2.739311879,3.4908,-12.4492998,5.724,1.272,-2.016,9.7218,0.084183,0.13647,-4.0332276,-3.5012242,0.8108383
Cr-Fe,2,1970,1538,1754,7.14,7.87,7.505,7.4,7.8,7.6,52,55.8,53.9,25,24,26,1.28,1.26,1.27,1.66,1.83,1.745,-193.76865,-0.0161427,-0.002947,2.401,0.131,2.739797168,3.414,-13.8688495,5.742,0.259,-2.133,15.3961,0.068599,0.242028,-4.4371876,-2.4464942,1.3214943
Cr-Ni,2,1970,1455,1712.5,7.14,8.91,8.025,7.4,7.6,7.5,52,58.7,55.35,26,24,28,1.28,1.24,1.26,1.66,1.91,1.785,-190.93067,-0.0176907,-0.008052,2.551,0.053,2.740794506,3.4409,-13.58650833,5.732,0.254,-2.122,12.928,0.0261,0.495085,-4.0300076,-2.5387142,0.8312663
Cr-Cu,2,1970,1085,1527.5,7.14,8.92,8.03,7.4,7.7,7.55,52,63.5,57.75,26.5,24,29,1.28,1.28,1.28,1.66,1.9,1.78,-189.39871,-0.0155683,-0.0005797,2.647,-0.007,2.740365979,3.4573,-12.54258069,5.756,1.618,-1.987,2.5311,0.014969,0.495241,-4.5139276,-2.8908142,0.9600403
Cr-Zn,2,1970,419.5,1194.75,7.14,7.14,7.14,7.4,9.3,8.35,52,65.4,58.7,27,24,30,1.28,1.34,1.31,1.66,1.65,1.655,-187.07526,0.0087693,-0.008809,2.718,0.011,2.739398265,3.3763,-10.45364622,5.795,1.613,-1.986,11.2735,0.042501,0.295941,-4.8820676,-2.9031942,1.3126383
Cr-Ru,2,1970,2334,2152,7.14,12.37,9.755,7.4,7.3,7.35,52,101,76.5,34,24,44,1.28,1.34,1.31,1.66,2.2,1.93,-194.07357,-0.007143,-0.0409433,2.409,-0.014,2.739595749,3.5738,-15.3820154,5.7,1.36,-1.977,11.1306,0.113297,-0.095537,-4.6600576,-3.3609742,0.6685233
Cr-Rh,2,1970,1964,1967,7.14,12.45,9.795,7.4,7.4,7.4,52,102.9,77.45,34.5,24,45,1.28,1.34,1.31,1.66,2.28,1.97,-192.32254,-0.0024573,-0.022626,2.544,0.01,2.740339883,3.5469,-14.4551127,5.722,1.333,-1.98,12.0359,0.083826,0.067367,-4.7437376,-3.3564742,0.7241713
Cr-Pd,2,1970,1555,1762.5,7.14,12.02,9.58,7.4,8.3,7.85,52,106.4,79.2,35,24,46,1.28,1.37,1.325,1.66,2.2,1.93,-190.15069,-0.0051553,-0.009153,2.665,0.007,2.74080998,3.5531,-12.0692838,5.733,0.335,-2.12,14.5797,0.054288,0.177603,-4.4338976,-3.4262142,0.7365093
Cr-Os,2,1970,3033,2501.5,7.14,22.61,14.875,7.4,8.4,7.9,52,190.2,121.1,50,24,76,1.28,1.35,1.315,1.66,2.2,1.93,-196.38016,-0.016679,-0.0261097,2.369,-0.011,2.739644319,3.5255,-16.8443938,5.695,0.266,-2.099,10.8777,0.154387,-0.344017,-3.9345276,-3.0841342,0.4020853
Cr-Ir,2,1970,2466,2218,7.14,22.65,14.895,7.4,8.9,8.15,52,192.2,122.1,50.5,24,77,1.28,1.36,1.32,1.66,2.2,1.93,-194.17175,-0.001036,-0.0459463,2.521,0.015,2.740047689,3.5515,-15.9872378,5.721,0.302,-2.096,9.0708,-0.12851,-0.227445,-4.4746176,-2.4841542,1.3229513
Mn-Fe,2,1246,1538,1392,7.47,7.87,7.67,7.9,7.8,7.85,54.9,55.8,55.35,25.5,25,26,1.27,1.26,1.265,1.55,1.83,1.69,-193.61626,-0.0032537,-0.017451,3.603,0.236,2.739640534,3.402,-14.0087445,5.772,0.269,-2.129,14.4818,0.132995,0.215962,-4.5168276,-2.4415742,1.3979923
Mn-Ni,2,1246,1455,1350.5,7.47,8.91,8.19,7.9,7.6,7.75,54.9,58.7,56.8,26.5,25,28,1.27,1.24,1.255,1.55,1.91,1.73,-190.72883,-0.0009273,-0.0104287,3.68,0.177,2.740497288,3.432,-13.67695333,5.762,1.71,-1.975,12.1813,0.086756,0.469846,-4.3983176,-2.8959942,0.8304513
Mn-Cu,2,1246,1085,1165.5,7.47,8.92,8.195,7.9,7.7,7.8,54.9,63.5,59.2,27,25,29,1.27,1.28,1.275,1.55,1.9,1.725,-189.17349,-0.0119343,-0.0007097,3.711,0.103,2.740332277,3.4259,-12.60964569,5.776,1.701,-1.991,4.4514,0.072614,0.477492,-4.1565876,-2.8944742,0.5912633
Mn-Zn,2,1246,419.5,832.75,7.47,7.14,7.305,7.9,9.3,8.6,54.9,65.4,60.15,27.5,25,30,1.27,1.34,1.305,1.55,1.65,1.6,-187.23314,-0.0132257,0.000554,3.711,0.113,2.739664891,3.3784,-10.90381122,5.806,1.595,-2.026,4.3205,0.100149,0.278611,-4.6051576,-1.7609142,2.1938663
Mn-Ru,2,1246,2334,1790,7.47,12.37,9.92,7.9,7.3,7.6,54.9,101,77.95,34.5,25,44,1.27,1.34,1.305,1.55,2.2,1.875,-193.66736,-0.018228,-0.047838,3.557,0.094,2.739592166,3.553,-15.2680904,5.729,1.422,-1.995,12.7307,0.179144,-0.104088,-4.4938676,-2.9956542,0.8165333
Mn-Rh,2,1246,1964,1605,7.47,12.45,9.96,7.9,7.4,7.65,54.9,102.9,78.9,35,25,45,1.27,1.34,1.305,1.55,2.28,1.915,-192.42462,-0.013101,-0.0336273,3.692,0.133,2.74020006,3.5259,-14.8494777,5.745,1.401,-2.006,13.7429,0.141538,0.054554,-4.5147876,-2.6322742,1.8807561
Mn-Pd,2,1246,1555,1400.5,7.47,12.02,9.745,7.9,8.3,8.1,54.9,106.4,80.65,35.5,25,46,1.27,1.37,1.32,1.55,2.2,1.875,-190.41781,-0.0121207,-0.0104537,3.76,0.135,2.740813528,3.5301,-12.6286888,5.751,1.751,-1.969,10.8074,0.112734,0.156715,-4.1390776,-2.9346942,0.5382433
Mn-Os,2,1246,3033,2139.5,7.47,22.61,15.04,7.9,8.4,8.15,54.9,190.2,122.55,50.5,25,76,1.27,1.35,1.31,1.55,2.2,1.875,-196.07461,-0.003724,-0.024004,3.495,0.081,2.739629257,3.5154,-16.8311288,5.725,0.276,-2.11,10.0157,0.219376,-0.356658,-4.4456176,-2.4795842,1.2876373
Mn-Ir,2,1246,2466,1856,7.47,22.65,15.06,7.9,8.9,8.4,54.9,192.2,123.55,51,25,77,1.27,1.36,1.315,1.55,2.2,1.875,-193.93379,-0.011148,-0.0517913,3.654,0.135,2.74003144,3.5165,-16.0415628,5.741,0.286,-2.117,8.0253,-0.049518,-0.215721,-4.3485376,-2.9187442,0.7625113
Fe-Ni,2,1538,1455,1496.5,7.87,8.91,8.39,7.8,7.6,7.7,55.8,58.7,57.25,27,26,28,1.26,1.24,1.25,1.83,1.91,1.87,-189.57225,-0.0036667,-0.0126827,3.2,0.278,2.740666623,3.3807,-14.37084303,5.753,0.576,-2.095,12.5974,0.313588,0.448729,-4.0025576,-2.0091242,1.3101283
Fe-Cu,2,1538,1085,1311.5,7.87,8.92,8.395,7.8,7.7,7.75,55.8,63.5,59.65,27.5,26,29,1.26,1.28,1.27,1.83,1.9,1.865,-186.95629,-0.0054407,0.0012247,3.189,0.209,2.740103801,3.3593,-12.24291539,5.77,0.55,-2.1,11.0724,0.183446,0.479223,-5.4023376,-2.9671442,1.7871013
Fe-Zn,2,1538,419.5,978.75,7.87,7.14,7.505,7.8,9.3,8.55,55.8,65.4,60.6,28,26,30,1.26,1.34,1.3,1.83,1.65,1.74,-186.01301,-0.018526,-0.0039853,3.146,0.211,2.739681443,3.3082,-11.53415092,5.802,0.492,-2.123,10.8398,0.200645,0.274555,-4.5761276,-3.0721942,0.9987171
Fe-Ru,2,1538,2334,1936,7.87,12.37,10.12,7.8,7.3,7.55,55.8,101,78.4,35,26,44,1.26,1.34,1.3,1.83,2.2,2.015,-192.11642,0.0031747,-0.039997,3.145,0.176,2.739726927,3.485,-15.5676201,5.724,0.32,-2.103,14.0146,0.276041,-0.118292,-5.2503376,-3.3676042,1.2114463
Fe-Rh,2,1538,1964,1751,7.87,12.45,10.16,7.8,7.4,7.6,55.8,102.9,79.35,35.5,26,45,1.26,1.34,1.3,1.83,2.28,2.055,-190.90619,0.0084023,-0.0191233,3.209,0.229,2.740442286,3.4602,-15.1815174,5.744,1.823,-1.942,14.8109,0.240239,0.042471,-4.8479776,-2.9933642,1.1906313
Fe-Pd,2,1538,1555,1546.5,7.87,12.02,9.945,7.8,8.3,8.05,55.8,106.4,81.1,36,26,46,1.26,1.37,1.315,1.83,2.2,2.015,-189.23169,0.0063523,-0.0032657,3.231,0.247,2.740957093,3.4452,-13.2930385,5.752,0.599,-2.08,14.768,0.210144,0.152967,-4.1042776,-2.9141342,0.5307573
Fe-Os,2,1538,3033,2285.5,7.87,22.61,15.24,7.8,8.4,8.1,55.8,190.2,123,51,26,76,1.26,1.35,1.305,1.83,2.2,2.015,-194.87284,-0.0279167,-0.039069,0.007,0.02,2.73978418,3.417,-17.4798285,5.683,0.612,-2.038,6.1281,0.443531,-0.394298,-4.4243776,-2.9105442,0.8376283
Fe-Ir,2,1538,2466,2002,7.87,22.65,15.26,7.8,8.9,8.35,55.8,192.2,124,51.5,26,77,1.26,1.36,1.31,1.83,2.2,2.015,-192.75394,-0.02856,-0.065785,0.038,0.028,2.740322872,3.4603,-16.7121825,5.698,0.579,-2.064,6.9584,0.153275,-0.208598,-4.4742676,-2.9196242,0.8897993
Ni-Cu,2,1455,1085,1270,8.91,8.92,8.915,7.6,7.7,7.65,58.7,63.5,61.1,28.5,28,29,1.24,1.28,1.26,1.91,1.9,1.905,-184.83903,-0.008407,-0.0037033,0.639,0.104,2.739619927,3.3468,-12.68129422,5.759,0.59,-2.079,10.7463,0.455894,0.434919,-4.6306876,-2.5548242,1.3989443
Ni-Zn,2,1455,419.5,937.25,8.91,7.14,8.025,7.6,9.3,8.45,58.7,65.4,62.05,29,28,30,1.24,1.34,1.29,1.91,1.65,1.78,-182.7549,-0.017193,0.0034137,0.592,0.092,2.73935321,3.2957,-10.83167975,5.803,0.522,-2.102,10.4605,0.480888,0.227722,-3.9397376,-2.8330242,0.4247433
Ni-Ru,2,1455,2334,1894.5,8.91,12.37,10.64,7.6,7.3,7.45,58.7,101,79.85,36,28,44,1.24,1.34,1.29,1.91,2.2,2.055,-189.91076,-0.0173333,-0.040047,0.684,0.108,2.739281049,3.5431,-15.91759893,5.707,1.767,-1.953,13.7575,0.546726,-0.169971,-3.8422876,-1.9338842,1.2495493
Ni-Rh,2,1455,1964,1709.5,8.91,12.45,10.68,7.6,7.4,7.5,58.7,102.9,80.8,36.5,28,45,1.24,1.34,1.29,1.91,2.28,2.095,-188.06977,-0.013699,-0.0476547,0.711,0.085,2.739575985,3.5039,-14.90073623,5.71,1.779,-2.01,7.6312,0.510727,-0.000808,-4.4085276,-2.5312142,1.1971873
Ni-Pd,2,1455,1555,1505,8.91,12.02,10.465,7.6,8.3,7.95,58.7,106.4,82.55,37,28,46,1.24,1.37,1.305,1.91,2.2,2.055,-185.17288,-0.018087,-0.010283,0.697,0.141,2.739971112,3.4834,-11.78986733,5.739,0.602,-2.078,11.0485,0.486751,0.108707,-4.9247276,-3.4478542,0.8118903
Ni-Os,2,1455,3033,2244,8.91,22.61,15.76,7.6,8.4,8,58.7,190.2,124.45,52,28,76,1.24,1.35,1.295,1.91,2.2,2.055,-191.75528,-0.0107607,-0.0186903,0.498,0.067,2.739280524,3.4633,-16.91790733,5.699,0.603,-2.034,10.2933,0.588094,-0.421003,-4.0316276,-3.0684542,0.4614751
Ni-Ir,2,1455,2466,1960.5,8.91,22.65,15.78,7.6,8.9,8.25,58.7,192.2,125.45,52.5,28,77,1.24,1.36,1.3,1.91,2.2,2.055,-189.5574,-0.021409,-0.0552023,0.693,0.111,2.739392184,3.4981,-16.07128133,5.721,0.559,-2.067,13.751,0.418599,-0.232317,-4.5261476,-3.0788742,0.7741931
Cu-Zn,2,1085,419.5,752.25,8.92,7.14,8.03,7.7,9.3,8.5,63.5,65.4,64.45,29.5,29,30,1.28,1.34,1.31,1.9,1.65,1.775,-181.17227,-0.0014533,-0.003403,0.007,0.009,2.739293279,3.2852,-9.73708211,5.819,1.952,-1.976,8.6926,0.481058,0.220464,-4.9284976,-2.9702242,1.2917753
Cu-Ru,2,1085,2334,1709.5,8.92,12.37,10.645,7.7,7.3,7.5,63.5,101,82.25,36.5,29,44,1.28,1.34,1.31,1.9,2.2,2.05,-187.96067,-0.0054413,-0.0416923,0.027,0.029,2.739288474,3.5155,-14.45554129,5.733,1.78,-1.968,11.8946,0.54777,-0.172522,-3.8065676,-3.3402542,0.6403753
Cu-Rh,2,1085,1964,1524.5,8.92,12.45,10.685,7.7,7.4,7.55,63.5,102.9,83.2,37,29,45,1.28,1.34,1.31,1.9,2.28,2.09,-186.31547,0.001555,-0.072705,0.021,-0.008,2.739450596,3.469,-13.63446859,5.741,1.781,-1.993,5.678,0.519329,0.000853,-4.4055476,-3.3490242,0.6787563
Cu-Pd,2,1085,1555,1320,8.92,12.02,10.47,7.7,8.3,8,63.5,106.4,84.95,37.5,29,46,1.28,1.37,1.325,1.9,2.2,2.05,-184.76706,-0.0021877,-0.0130437,-0.005,0.04,2.739689559,3.466,-11.87207969,5.759,0.611,-2.092,12.0636,0.495729,0.11049,-3.9907076,-2.3481442,0.9623683
Cu-Os,2,1085,3033,2059,8.92,22.61,15.765,7.7,8.4,8.05,63.5,190.2,126.85,52.5,29,76,1.28,1.35,1.315,1.9,2.2,2.05,-189.36138,-0.006537,-0.0335673,0.024,0.025,2.739334192,3.4681,-15.01203969,5.729,0.584,-2.084,11.6121,0.580436,-0.418935,-5.2928376,-3.4362742,1.1826423
Cu-Ir,2,1085,2466,1775.5,8.92,22.65,15.785,7.7,8.9,8.3,63.5,192.2,127.85,53,29,77,1.28,1.36,1.32,1.9,2.2,2.05,-187.79891,-0.0024317,-0.0631303,0,0.027,2.739376394,3.4613,-14.80082369,5.75,0.577,-2.085,6.5899,0.522119,-0.345991,-4.8350076,-3.3515042,0.8043973
Zn-Ru,2,419.5,2334,1376.75,7.14,12.37,9.755,9.3,7.3,8.3,65.4,101,83.2,37,30,44,1.34,1.34,1.34,1.65,2.2,1.925,-185.56788,0.0134623,-0.0485793,-0.007,0.016,2.739452565,3.4595,-12.29726682,5.781,1.638,-1.999,11.4385,0.336096,-0.124741,-5.3295176,-3.8806642,1.1977263
Zn-Rh,2,419.5,1964,1191.75,7.14,12.45,9.795,9.3,7.4,8.35,65.4,102.9,84.15,37.5,30,45,1.34,1.34,1.34,1.65,2.28,1.965,-184.85421,0.0115197,-0.038874,-0.007,0.045,2.739996407,3.4229,-12.40772412,5.805,1.684,-1.985,6.9419,0.304717,0.031574,-4.4015476,-2.6090542,1.1218533
Zn-Pd,2,419.5,1555,987.25,7.14,12.02,9.58,9.3,8.3,8.8,65.4,106.4,85.9,38,30,46,1.34,1.37,1.355,1.65,2.2,1.925,-182.02776,0.0192537,-0.0025497,-0.008,0.046,2.7403523,3.4132,-9.36729522,5.815,0.525,-2.119,12.1218,0.280042,0.136763,-5.3420576,-3.4428642,1.2342723
Zn-Os,2,419.5,3033,1726.25,7.14,22.61,14.875,9.3,8.4,8.85,65.4,190.2,127.8,53,30,76,1.34,1.35,1.345,1.65,2.2,1.925,-187.95105,0.0015293,-0.0418563,-0.005,0.02,2.739604802,3.413,-13.83622522,5.766,0.532,-2.13,5.5552,0.371061,-0.37256,-4.7598076,-2.9113642,1.1832723
Zn-Ir,2,419.5,2466,1442.75,7.14,22.65,14.895,9.3,8.9,9.1,65.4,192.2,128.8,53.5,30,77,1.34,1.36,1.35,1.65,2.2,1.925,-185.91641,-0.0003797,-0.0766627,-0.006,0.035,2.7399264,3.3974,-13.15283922,5.803,0.542,-2.115,9.0128,0.124985,-0.281624,-4.4349376,-3.2664542,0.5845353
Ru-Rh,2,2334,1964,2149,12.37,12.45,12.41,7.3,7.4,7.35,101,102.9,101.95,44.5,44,45,1.34,1.34,1.34,2.2,2.28,2.24,-191.6743,0.005911,-0.04144,-0.272,-0.037,2.739776633,3.6553,-17.1578733,5.707,1.498,-1.961,8.2511,-0.063215,0.07787,-4.3122676,-2.4812942,1.1596383
Ru-Pd,2,2334,1555,1944.5,12.37,12.02,12.195,7.3,8.3,7.8,101,106.4,103.7,45,44,46,1.34,1.37,1.355,2.2,2.2,2.2,-189.05721,0.014646,-0.0187473,0.009,0.029,2.740081276,3.6054,-14.3268044,5.709,1.83,-1.902,9.7444,-0.085364,0.194177,-4.8210176,-3.3982342,0.7614623
Ru-Os,2,2334,3033,2683.5,12.37,22.61,17.49,7.3,8.4,7.85,101,190.2,145.6,60,44,76,1.34,1.35,1.345,2.2,2.2,2.2,-195.52924,-0.028475,-0.0387377,-0.016,0.015,2.739309625,3.6345,-19.3444744,5.672,0.343,-2.059,11.549,0.006555,-0.321523,-3.3999276,-2.4962442,0.2322123
Ru-Ir,2,2334,2466,2400,12.37,22.65,17.51,7.3,8.9,8.1,101,192.2,146.6,60.5,44,77,1.34,1.36,1.35,2.2,2.2,2.2,-192.79267,0.0045907,-0.040267,-0.075,0.024,2.73969185,3.6083,-17.9591584,5.693,1.815,-1.898,9.5603,-0.174399,-0.324,-3.7618676,-2.8947042,0.2198613
Rh-Pd,2,1964,1555,1759.5,12.45,12.02,12.235,7.4,8.3,7.85,102.9,106.4,104.65,45.5,45,46,1.34,1.37,1.355,2.28,2.2,2.24,-187.70094,-0.032005,-0.0129967,0.273,0.086,2.739754182,3.6046,-13.7946617,5.73,1.799,-1.948,13.0648,0.082243,0.167098,-3.9990776,-2.9421442,0.9934851
Rh-Os,2,1964,3033,2498.5,12.45,22.61,17.53,7.4,8.4,7.9,102.9,190.2,146.55,60.5,45,76,1.34,1.35,1.345,2.28,2.2,2.24,-193.65736,-0.069685,-0.0389513,0.085,0.026,2.739259607,3.5802,-18.2967217,5.685,1.837,-1.907,5.752,0.164237,-0.354331,-3.7737076,-1.9686542,1.1252773
Rh-Ir,2,1964,2466,2215,12.45,22.65,17.55,7.4,8.9,8.15,102.9,192.2,147.55,61,45,77,1.34,1.36,1.35,2.28,2.2,2.24,-191.20193,-0.0222577,-0.0462817,0.221,0.079,2.739410055,3.5904,-17.1925457,5.713,1.804,-1.925,9.9113,-0.147301,-0.078686,-3.5520476,-2.9851942,0.3085153
Pd-Os,2,1555,3033,2294,12.02,22.61,17.315,8.3,8.4,8.35,106.4,190.2,148.3,61,46,76,1.37,1.35,1.36,2.2,2.2,2.2,-191.00607,-0.0305633,-0.0329503,0.013,0.014,2.739310963,3.5541,-15.4314528,5.702,0.594,-2.053,5.4641,0.270301,-0.37108,-3.8757976,-2.4662542,0.7333973
Pd-Ir,2,1555,2466,2010.5,12.02,22.65,17.335,8.3,8.9,8.6,106.4,192.2,149.3,61.5,46,77,1.37,1.36,1.365,2.2,2.2,2.2,-189.22584,-0.0179417,-0.0549417,0.032,0.033,2.739279376,3.5571,-15.0024768,5.721,0.595,-2.056,6.0749,0.229918,-0.360793,-3.9918276,-2.4786542,0.8302733
Os-Ir,2,3033,2466,2749.5,22.61,22.65,22.63,8.4,8.9,8.65,190.2,192.2,191.2,76.5,76,77,1.35,1.36,1.355,2.2,2.2,2.2,-195.1556,0.0156427,-0.0446697,-0.08,0.027,2.74002489,3.5886,-19.4778768,5.685,0.601,-2.032,6.7623,-0.386993,-0.375696,-3.7609876,-2.7951042,0.2971023
Sc-Ti,2,1541,1668,1604.5,2.99,4.51,3.75,6.5,6.8,6.65,44.9,47.9,46.4,21.5,21,22,1.62,1.47,1.545,1.36,1.54,1.45,-194.07132,0.040824,-0.002737,-0.048,0.023,2.739396411,3.5555,-18.2584203,5.801,1.147,-2.101,10.998,-0.272353,-0.201351,-5.2899976,-2.8778542,1.7498143
Sc-V,2,1541,1910,1725.5,2.99,6.11,4.55,6.5,6.7,6.6,44.9,50.9,47.9,22,21,23,1.62,1.34,1.48,1.36,1.63,1.495,-194.20008,0.0318763,-0.0048097,0.074,0.025,2.739234855,3.5033,-17.4954334,5.788,1.126,-2.085,10.0906,-0.297445,-0.032018,-5.3054976,-3.8348242,1.1450373
Sc-Cr,2,1541,1970,1755.5,2.99,7.14,5.065,6.5,7.4,6.95,44.9,52,48.45,22.5,21,24,1.62,1.28,1.45,1.36,1.66,1.51,-193.86659,0.0373393,-0.002034,0.024,0.033,2.739529815,3.499,-15.1359164,5.799,1.182,-2.085,13.9407,-0.323956,0.100893,-4.6288076,-3.0032242,0.9664413
Sc-Mn,2,1541,1246,1393.5,2.99,7.47,5.23,6.5,7.9,7.2,44.9,54.9,49.9,23,21,25,1.62,1.27,1.445,1.36,1.55,1.455,-194.49741,0.0403443,0.0016453,-0.026,0.114,2.739393796,3.4456,-16.0590214,5.826,1.241,-2.064,13.3108,-0.342003,0.167624,-3.8277876,-2.0019942,1.1596703
Sc-Fe,2,1541,1538,1539.5,2.99,7.87,5.43,6.5,7.8,7.15,44.9,55.8,50.35,23.5,21,26,1.62,1.26,1.44,1.36,1.83,1.595,-193.50218,0.0375123,-0.0527267,-0.008,0.016,2.739658666,3.3776,-16.9142611,5.797,0.266,-2.175,8.3981,-0.363954,0.401164,-4.3400576,-2.3667542,1.3145693
Sc-Ni,2,1541,1455,1498,2.99,8.91,5.95,6.5,7.6,7.05,44.9,58.7,51.8,24.5,21,28,1.62,1.24,1.43,1.36,1.91,1.635,-190.27344,0.0470497,-0.035061,-0.032,0.076,2.740790809,3.4028,-16.24115993,5.822,0.286,-2.127,10.3157,-0.394005,0.534137,-4.4534476,-3.4045842,0.7158073
Sc-Cu,2,1541,1085,1313,2.99,8.92,5.955,6.5,7.7,7.1,44.9,63.5,54.2,25,21,29,1.62,1.28,1.45,1.36,1.9,1.63,-189.24664,0.0372427,-0.007542,0.001,0.008,2.740361763,3.3986,-15.70239229,5.844,0.217,-2.181,2.7697,-0.406477,0.523308,-3.9885276,-2.8974842,0.6067661
Sc-Zn,2,1541,419.5,980.25,2.99,7.14,5.065,6.5,9.3,7.9,44.9,65.4,55.15,25.5,21,30,1.62,1.34,1.48,1.36,1.65,1.505,-187.13992,0.003969,-0.010304,-0.002,0.014,2.739880427,3.3281,-13.83018782,5.864,1.637,-2.01,6.0319,-0.374897,0.331645,-4.3308776,-2.4377142,1.2443403
Sc-Ru,2,1541,2334,1937.5,2.99,12.37,7.68,6.5,7.3,6.9,44.9,101,72.95,32.5,21,44,1.62,1.34,1.48,1.36,2.2,1.78,-193.70444,0.0356443,-0.026986,-0.017,0.017,2.739564295,3.5311,-18.324767,5.79,1.327,-2.022,9.0232,-0.300759,-0.01936,-4.5216876,-3.3405942,0.6468243
Sc-Rh,2,1541,1964,1752.5,2.99,12.45,7.72,6.5,7.4,6.95,44.9,102.9,73.9,33,21,45,1.62,1.34,1.48,1.36,2.28,1.82,-192.16467,0.0531473,-0.0394993,-0.022,0.058,2.74014651,3.5303,-17.6091243,5.803,1.298,-2.025,6.9179,-0.337877,0.131277,-3.9940276,-3.3377542,0.6500953
Sc-Pd,2,1541,1555,1548,2.99,12.02,7.505,6.5,8.3,7.4,44.9,106.4,75.65,33.5,21,46,1.62,1.37,1.495,1.36,2.2,1.78,-190.60788,0.0406107,-0.0224373,-0.012,0.017,2.740680994,3.5096,-15.8383554,5.807,0.221,-2.174,8.9645,-0.368273,0.225736,-3.9371876,-2.7747642,0.7728421
Sc-Os,2,1541,3033,2287,2.99,22.61,12.8,6.5,8.4,7.45,44.9,190.2,117.55,48.5,21,76,1.62,1.35,1.485,1.36,2.2,1.78,-195.906,0.0193103,-0.010941,-0.012,0.016,2.739777809,3.4682,-19.6821154,5.786,0.303,-2.158,5.7275,-0.254951,-0.268723,-3.9913876,-3.0342442,0.3596361
Sc-Ir,2,1541,2466,2003.5,2.99,22.65,12.82,6.5,8.9,7.7,44.9,192.2,118.55,49,21,77,1.62,1.36,1.49,1.36,2.2,1.78,-194.08782,0.030333,-0.0443287,-0.012,0.048,2.739830776,3.4987,-19.2151894,5.801,0.304,-2.132,3.2867,-0.486278,-0.190915,-3.8770976,-2.5420142,0.6914331
Ti-V,2,1668,1910,1789,4.51,6.11,5.31,6.8,6.7,6.75,47.9,50.9,49.4,22.5,22,23,1.47,1.34,1.405,1.54,1.63,1.585,-196.88914,-0.013626,0.0366847,0.518,0.024,2.739257175,3.6049,-19.7933157,5.737,1.101,-2.077,11.8178,0.003933,-0.214534,-3.9188776,-2.8853142,0.5702711
Ti-Cr,2,1668,1970,1819,4.51,7.14,5.825,6.8,7.4,7.1,47.9,52,49.95,23,22,24,1.47,1.28,1.375,1.54,1.66,1.6,-195.4113,-0.0516133,0.0033207,2.405,0.042,2.739413891,3.5727,-16.2894487,5.749,1.11,-2.073,13.7394,0.147005,-0.247847,-4.5795176,-3.2190642,0.6936433
Ti-Mn,2,1668,1246,1457,4.51,7.47,5.99,6.8,7.9,7.35,47.9,54.9,51.4,23.5,22,25,1.47,1.27,1.37,1.54,1.55,1.545,-195.14053,-0.0145603,0.0147923,3.426,0.129,2.739392696,3.5346,-16.3109637,5.768,1.233,-2.073,12.7732,0.214705,-0.262401,-3.8818276,-2.3600942,0.8565803
Ti-Fe,2,1668,1538,1603,4.51,7.87,6.19,6.8,7.8,7.3,47.9,55.8,51.85,24,22,26,1.47,1.26,1.365,1.54,1.83,1.685,-193.92815,0.0150237,0.0281677,2.835,0.165,2.73948349,3.4563,-16.9490534,5.763,0.219,-2.144,12.3425,0.335648,-0.277069,-5.4146776,-3.4184942,1.3259793
